iter	Passed	Remaining
0	6	6421
1	10	5437
2	15	5276
3	20	5104
4	24	4927
5	29	4854
6	34	4834
7	38	4756
8	42	4688
9	47	4696
10	52	4680
11	56	4659
12	61	4640
13	66	4654
14	70	4618
15	74	4608
16	79	4591
17	83	4563
18	87	4534
19	92	4509
20	96	4501
21	100	4469
22	104	4443
23	108	4414
24	113	4409
25	117	4391
26	121	4384
27	126	4383
28	130	4363
29	134	4343
30	138	4328
31	143	4329
32	147	4314
33	150	4289
34	154	4272
35	159	4268
36	163	4255
37	167	4236
38	171	4215
39	175	4209
40	179	4194
41	183	4184
42	187	4175
43	191	4158
44	194	4136
45	198	4114
46	202	4103
47	206	4092
48	210	4084
49	214	4069
50	218	4058
51	221	4043
52	225	4029
53	229	4016
54	233	4007
55	237	3997
56	241	3988
57	244	3975
58	249	3973
59	252	3959
60	256	3945
61	259	3930
62	262	3902
63	266	3897
64	270	3891
65	273	3869
66	277	3865
67	281	3855
68	285	3846
69	288	3833
70	291	3814
71	295	3803
72	299	3796
73	302	3785
74	306	3778
75	310	3778
76	314	3771
77	318	3763
78	322	3757
79	326	3753
80	330	3746
81	333	3731
82	336	3720
83	340	3716
84	344	3708
85	348	3705
86	352	3697
87	354	3675
88	357	3658
89	361	3653
90	365	3647
91	367	3631
92	371	3627
93	375	3622
94	379	3613
95	382	3605
96	386	3594
97	389	3588
98	392	3574
99	396	3566
100	400	3564
101	404	3563
102	408	3559
103	412	3553
104	416	3548
105	419	3540
106	423	3531
107	426	3523
108	430	3517
109	433	3510
110	436	3498
111	440	3494
112	444	3489
113	448	3484
114	452	3478
115	455	3472
116	459	3466
117	462	3457
118	466	3452
119	469	3444
120	473	3440
121	478	3440
122	482	3436
123	485	3432
124	489	3427
125	493	3424
126	497	3420
127	501	3415
128	505	3411
129	509	3407
130	513	3404
131	516	3399
132	521	3396
133	525	3396
134	529	3390
135	533	3387
136	536	3381
137	540	3377
138	543	3367
139	547	3361
140	550	3355
141	554	3352
142	558	3349
143	562	3346
144	567	3344
145	571	3345
146	575	3339
147	579	3335
148	582	3324
149	585	3319
150	589	3315
151	593	3310
152	597	3307
153	601	3302
154	603	3290
155	607	3286
156	610	3280
157	614	3276
158	618	3273
159	622	3269
160	626	3264
161	630	3261
162	634	3257
163	638	3252
164	640	3240
165	643	3234
166	647	3231
167	651	3226
168	655	3221
169	657	3209
170	661	3206
171	665	3202
172	668	3197
173	672	3192
174	675	3183
175	680	3185
176	684	3181
177	687	3173
178	691	3169
179	694	3165
180	699	3164
181	703	3163
182	707	3160
183	710	3153
184	714	3148
185	718	3143
186	721	3138
187	725	3132
188	729	3129
189	733	3125
190	739	3132
191	744	3131
192	748	3130
193	754	3134
194	761	3143
195	765	3141
196	768	3133
197	772	3128
198	776	3127
199	780	3123
200	784	3117
201	788	3113
202	792	3111
203	796	3108
204	801	3106
205	804	3102
206	808	3098
207	812	3095
208	816	3089
209	820	3086
210	823	3080
211	827	3076
212	832	3074
213	836	3071
214	845	3086
215	849	3082
216	852	3077
217	857	3074
218	862	3074
219	865	3070
220	869	3066
221	874	3064
222	878	3062
223	882	3056
224	886	3052
225	891	3052
226	896	3051
227	900	3049
228	906	3052
229	910	3049
230	914	3045
231	918	3042
232	924	3042
233	928	3040
234	932	3036
235	937	3035
236	941	3032
237	945	3028
238	949	3024
239	954	3021
240	958	3018
241	962	3013
242	966	3010
243	970	3007
244	974	3003
245	978	2999
246	982	2996
247	987	2993
248	991	2990
249	995	2986
250	999	2983
251	1004	2980
252	1008	2976
253	1012	2973
254	1016	2970
255	1020	2967
256	1025	2963
257	1029	2960
258	1033	2956
259	1038	2954
260	1043	2953
261	1047	2951
262	1061	2975
263	1066	2973
264	1070	2969
265	1074	2966
266	1078	2961
267	1082	2957
268	1086	2953
269	1091	2949
270	1095	2947
271	1099	2942
272	1102	2937
273	1106	2932
274	1110	2928
275	1115	2924
276	1119	2921
277	1122	2916
278	1126	2911
279	1130	2906
280	1133	2901
281	1138	2897
282	1142	2893
283	1146	2889
284	1150	2885
285	1153	2880
286	1157	2876
287	1161	2871
288	1165	2866
289	1169	2863
290	1173	2859
291	1177	2854
292	1181	2851
293	1185	2847
294	1189	2842
295	1193	2838
296	1197	2833
297	1200	2828
298	1204	2823
299	1208	2819
300	1212	2815
301	1216	2812
302	1220	2807
303	1224	2803
304	1228	2799
305	1232	2795
306	1236	2790
307	1240	2787
308	1245	2784
309	1249	2780
310	1253	2776
311	1257	2772
312	1261	2769
313	1265	2765
314	1269	2761
